name,company,year,Price,kms_driven,fuel_type,car_age,is_luxury,kms_per_year
Volkswagen Passat Diesel,Volkswagen,2009,13.017005083966255,11.48247656671073,Diesel,11,0,8083.333333333333
Renault Scala RxL,Renault,2015,12.834683971615659,10.12667110305036,Diesel,5,0,4166.666666666667
Hyundai Grand i10,Hyundai,2014,12.807655372286902,9.90353755128617,Petrol,6,0,2857.1428571428573
Hyundai i20 Active,Hyundai,2015,13.122365377402328,9.798182590890704,Petrol,5,0,3000.0
Mahindra Xylo E4,Mahindra,2012,12.899222326086994,10.463131911491967,Diesel,8,0,3888.8888888888887
Mahindra Jeep MM,Mahindra,2019,12.873904582205107,4.110873864173311,Diesel,1,0,30.0
Mahindra Bolero SLE,Mahindra,2013,12.706850963741102,11.2922912626048,Diesel,7,0,10025.0
Force Motors Force,Force,2015,13.270785106659046,8.071218539969863,Diesel,5,0,533.3333333333334
Maruti Suzuki SX4,Maruti,2012,12.487488878546145,10.736418414365376,Diesel,8,0,5111.111111111111
Mahindra Jeep CL550,Mahindra,2019,12.84529412258351,0.0,Diesel,1,0,0.0
Maruti Suzuki Alto,Maruti,2015,12.296831574998258,8.517393171418904,Petrol,5,0,833.3333333333334
Mahindra Jeep CL550,Mahindra,2018,12.861001210669146,6.3784261836515865,Diesel,2,0,196.0
Toyota Etios,Toyota,2011,12.524530013005734,10.491301994830229,Diesel,9,0,3600.0
Volkswagen Polo,Volkswagen,2015,12.706850963741102,10.545367754151743,Diesel,5,0,6333.333333333333
Honda City ZX,Honda,2008,11.608244735642321,10.714439990727769,Petrol,12,0,3461.5384615384614
Maruti Suzuki Wagon,Maruti,2006,11.289794413577894,11.173262142245258,Petrol,14,0,4746.666666666667
Honda City VX,Honda,2016,13.159661088928443,10.859018228147887,Diesel,4,0,10400.0
Mahindra Thar CRDe,Mahindra,2016,13.500801182986649,10.275085591132715,Diesel,4,0,5800.0
Audi A4 1.8,Audi,2009,13.457407451830088,10.757924157061597,Petrol,11,1,3916.6666666666665
Mercedes Benz GLA,Mercedes,2015,14.508658238524095,9.90353755128617,Diesel,5,1,3333.3333333333335
Land Rover Freelander,Land,2015,14.557448378884015,10.308985993422082,Diesel,5,0,5000.0
Renault Kwid RXT,Renault,2017,12.73670383776449,8.517393171418904,Petrol,3,0,1250.0
Tata Aria Pleasure,Tata,2014,12.873904582205107,10.463131911491967,Diesel,6,0,5000.0
Mercedes Benz B,Mercedes,2014,14.151983508870947,10.34177474101152,Petrol,6,1,4428.571428571428
Datsun GO T,Datsun,2016,12.409017571151187,8.853808274977197,Petrol,4,0,1400.0
Tata Indigo eCS,Tata,2016,12.676079399771027,12.074830060158243,Diesel,4,0,35080.0
Honda Jazz VX,Honda,2016,13.017005083966255,10.62135173563291,Petrol,4,0,8200.0
Honda Amaze 1.2,Honda,2014,12.647551406590285,10.404293143019792,Petrol,6,0,4714.285714285715
Honda City,Honda,2012,12.89921982609012,10.714439990727769,Petrol,8,0,5000.0
Honda City,Honda,2015,13.304684934198283,10.571342565808699,Diesel,5,0,6500.0
Mahindra Scorpio S4,Mahindra,2015,13.658857917508856,10.308985993422082,Diesel,5,0,5000.0
Hyundai i20 Active,Hyundai,2015,13.190023895035274,10.518700218288165,Diesel,5,0,6166.666666666667
Mini Cooper S,Mini,2013,14.452675573808426,9.472781556562168,Petrol,7,1,1625.0
Maruti Suzuki Ciaz,Maruti,2017,13.457407451830088,9.546884034617925,Petrol,3,0,3500.0
Chevrolet Tavera Neo,Chevrolet,2013,12.834683971615659,10.915106645867503,Diesel,7,0,6875.0
Hyundai Eon Sportz,Hyundai,2012,12.08954444723597,10.308985993422082,Petrol,8,0,3333.3333333333335
Tata Sumo Gold,Tata,2013,12.611541086966115,10.819798284210286,Diesel,7,0,6250.0
Maruti Suzuki Wagon,Maruti,2003,11.407576060361786,10.714439990727769,Petrol,17,0,2500.0
Maruti Suzuki Esteem,Maruti,2006,11.461642696843066,10.714439990727769,Petrol,14,0,3000.0
Maruti Suzuki Eeco,Maruti,2015,12.449022745701502,9.137877200242468,Petrol,5,0,1550.0
Chevrolet Enjoy 1.4,Chevrolet,2013,12.409017571151187,10.915106645867503,Diesel,7,0,6875.0
Maruti Suzuki Wagon,Maruti,2015,12.577636201962656,9.99884318585288,Petrol,5,0,3666.6666666666665
Nissan Terrano XL,Nissan,2015,13.122363377404328,11.002116507732017,Diesel,5,0,10000.0
Renault Duster 85,Renault,2014,13.102160670086809,10.985309671896763,Diesel,6,0,8428.57142857143
Renault Duster 85,Renault,2015,13.217673557208654,9.852246888342531,Diesel,5,0,3166.6666666666665
Maruti Suzuki Dzire,Maruti,2013,12.847929163278053,10.308985993422082,Petrol,7,0,3750.0
Renault Kwid RXT,Renault,2018,12.691583538230217,9.61587214452889,Petrol,2,0,5000.0
Maruti Suzuki Maruti,Maruti,2003,10.950824090522445,10.946569513077906,Petrol,17,0,3153.222222222222
Renault Kwid 1.0,Renault,2018,12.765688433465597,9.210440366976517,Petrol,2,0,3333.3333333333335
Renault Scala RxL,Renault,2014,12.765688433465597,10.799595985047786,Diesel,6,0,7000.0
Hyundai Grand i10,Hyundai,2014,12.923914877701906,10.62135173563291,Petrol,6,0,5857.142857142857
Maruti Suzuki Swift,Maruti,2011,12.323860125621126,10.714439990727769,Petrol,9,0,4500.0
Chevrolet Beat LS,Chevrolet,2010,11.695255355062795,10.668978650219241,Petrol,10,0,3909.090909090909
Hyundai Santro Xing,Hyundai,2000,10.985309671896763,10.941128284212754,Petrol,20,0,2688.095238095238
Chevrolet Beat LS,Chevrolet,2010,11.289794413577894,10.933124826700707,Petrol,10,0,5090.909090909091
Chevrolet Beat LS,Chevrolet,2015,12.301387370778713,10.39516093745751,Petrol,5,0,5450.0
Ford EcoSport Titanium,Ford,2016,13.303018546545275,10.308985993422082,Diesel,4,0,6000.0
Hyundai Accent GLX,Hyundai,2006,11.289794413577894,10.933124826700707,Petrol,14,0,3733.3333333333335
Maruti Suzuki Swift,Maruti,2010,,10.859018228147887,Diesel,10,0,4727.272727272727
Mahindra TUV300 T4,Mahindra,2016,13.42246945133505,9.105090961257085,Diesel,4,0,1800.0
Tata Indica V2,Tata,2008,11.918397239722838,9.305741456739435,Petrol,12,0,846.1538461538462
Tata Indigo CS,Tata,2009,11.19135563385109,10.736418414365376,Diesel,11,0,3833.3333333333335
Maruti Suzuki Swift,Maruti,2019,13.321215875492413,4.30406509320417,Petrol,1,0,36.5
Mahindra Scorpio VLX,Mahindra,2004,12.345838935721968,11.982935344196433,Diesel,16,0,9411.764705882353
Tata Indica eV2,Tata,2017,,11.338583982516495,Diesel,3,0,21000.0
Honda Accord,Honda,2009,12.07254696717504,10.977807148635193,Petrol,11,0,4879.916666666667
Ford EcoSport Titanium,Ford,2014,13.161586013632684,10.950824090522445,Diesel,6,0,8142.857142857143
Maruti Suzuki Ertiga,Maruti,2015,13.17115354157376,10.819798284210286,Diesel,5,0,8333.333333333334
Honda Amaze,Honda,2014,12.611537753638338,10.518700218288165,Petrol,6,0,5285.714285714285
Maruti Suzuki Dzire,Maruti,2012,12.611537753638338,10.596659732783579,Petrol,8,0,4444.444444444444
Honda City,Honda,2011,12.560244459250788,10.915106645867503,Petrol,9,0,5500.0
Mahindra Scorpio 2.6,Mahindra,2007,12.301387370778713,12.04355959836804,Diesel,13,0,12142.857142857143
Maruti Suzuki Dzire,Maruti,2014,12.959844447906553,10.915106645867503,Diesel,6,0,7857.142857142857
Honda City,Honda,2015,13.37700559577791,10.571342565808699,Petrol,5,0,6500.0
Honda Mobilio,Honda,2014,12.89921982609012,10.691967639914864,Petrol,6,0,6285.714285714285
Toyota Corolla Altis,Toyota,2009,12.206072645530174,11.082157933374816,Petrol,11,0,5416.666666666667
Honda City,Honda,2014,13.279367126213993,10.571342565808699,Petrol,6,0,5571.428571428572
Skoda Laura,Skoda,2012,12.765688433465597,10.691967639914864,Diesel,8,0,4888.888888888889
Renault Duster,Renault,2015,13.017002861746503,10.799595985047786,Diesel,5,0,8166.666666666667
Maruti Suzuki Ertiga,Maruti,2018,13.592367006650065,9.105090961257085,Diesel,2,0,3000.0
Maruti Suzuki Dzire,Maruti,2015,13.005829561148378,10.714439990727769,Diesel,5,0,7500.0
Mahindra XUV500,Mahindra,2014,13.38472764187182,10.757924157061597,Diesel,6,0,6714.285714285715
Hyundai Verna Fluidic,Hyundai,2012,13.005829561148378,10.596659732783579,Diesel,8,0,4444.444444444444
Maruti Suzuki Vitara,Maruti,2016,13.444446876573442,10.275085591132715,Diesel,4,0,5800.0
Maruti Suzuki Wagon,Maruti,2016,12.751299696013497,9.61587214452889,Petrol,4,0,3000.0
Mahindra Scorpio,Mahindra,2015,13.758940206475879,10.714439990727769,Diesel,5,0,7500.0
Honda Amaze,Honda,2014,12.524526376648708,10.463131911491967,Petrol,6,0,5000.0
Mahindra XUV500,Mahindra,2013,13.444446876573442,11.289794413577894,Diesel,7,0,10000.0
Mahindra Scorpio,Mahindra,2013,13.262125319779487,11.127277689932466,Diesel,7,0,8500.0
Skoda Laura,Skoda,2013,12.834681304952548,10.819798284210286,Diesel,7,0,6250.0
Volkswagen Polo,Volkswagen,2010,12.206072645530174,11.002116507732017,Diesel,10,0,5454.545454545455
Hyundai Elite i20,Hyundai,2016,13.217673557208654,9.105090961257085,Petrol,4,0,1800.0
Tata Manza Aura,Tata,2012,11.775297421715827,11.184435286790631,Diesel,8,0,8000.0
Chevrolet Sail UVA,Chevrolet,2013,12.25486757159303,11.002116507732017,Petrol,7,0,7500.0
Hyundai Verna Fluidic,Hyundai,2013,12.901719200051183,10.714439990727769,Diesel,7,0,5625.0
Audi A4 2.0,Audi,2012,14.115615891155079,10.596659732783579,Diesel,8,1,4444.444444444444
Hyundai Elantra SX,Hyundai,2013,13.304686600863562,9.90353755128617,Petrol,7,0,2500.0
